FID,Group ID,Short Description,Shade?,Wifi available?,Shelter,Facilities / Washroom within 100 m?,Quietness,Raised Seating?,Num Seats,Greenness,Accessibility Score,Latitude,Longitude,Suitability Score
27,02-15,West of kayas,0,1,1,1,2,0,0,3,3,43.263,-79.92304,3.675
28,03-01,Picnic@Live Lab small,1,1,1,1,2,1,8,3,3,43.25997,-79.9198,5.675
29,03-02,Live Lab entrance outside,1,1,1,1,2,1,30,3,4,43.26,-79.91939,5.725
30,03-03,Communications Research Lab Entrance,1,1,1,1,2,1,10,4,4,43.25926,-79.91958,5.775
31,03-04,Booster Juice @ Engineering,0,1,0,1,2,1,21,1,4,43.25853,-79.91982,4.375
32,03-05,Park @ Mohawk Applied Health Science,1,1,2,1,2,1,15,3,3,43.2594,-79.92053,5.925
33,03-06,Pay station @ parking,0,1,0.5,1,3,0,0,2,4,43.25967,-79.92175,3.6125
34,03-07,Parking lot Map sign,1,1,0,1,3,0,0,2,4,43.2567,-79.92143,4.4875
35,03-08,Button at IT parking,0,1,0,1,4,0,0,1,4,43.25866,-79.92155,3.5
36,03-09,Fort area,1,1,1,1,2,1,50,2,4,43.25858,-79.92081,5.675
37,03-10,Tree bench area,0.5,1,1,1,2,1,12,1,4,43.25834,-79.92021,5.125
38,03-11,3 trees,1,1,1,1,0,0,3,4,4,43.25817,-79.91969,4.65
39,03-12,Pizza pizza entrance,0.5,1,1,1,4,1,6,2,4,43.25997,-79.92038,5.3
40,03-13,8 rocks flat-ish,1,1,0,1,3,0,9,3,4,43.25997,-79.92152,4.5375
41,03-14,occupational therapy bench,1,1,0,1,4,1,4,3,3,43.25997,-79.92156,5.55
42,03-15,pile of rocks,0.5,1,0,1,3,1,21,4,3,43.25907,-79.92015,5.0375
43,04-01,Picnic bench area under tree,1,1,1,1,2,1,16,4,3,43.26131,-79.91919,5.725
44,04-02,Courtyard area outside of engineering building,0,1,0,1,2,1,31,2,4,43.26111,-79.92007,4.425
